model,replication,parameter_class,n_parameters,pearson_r,spearman_rho,mean_bias,rmse,interval_coverage
M7_single_alpha_full_response,2,alpha_general,65,0.6859919099616048,0.666958041958042,-0.01890752949757303,0.2620218316908399,0.8461538461538461
M7_single_alpha_full_response,2,beta,65,0.997791844237776,0.9076048951048951,-1.4541873589757632,11.40494160632577,0.8461538461538461
M7_single_alpha_full_response,2,rho,65,0.9555478926368112,0.9404283216783217,-0.030447662747741678,0.218614543856431,0.9076923076923077
M7_single_alpha_full_response,2,side_bias,65,0.935678049915622,0.8421765734265734,0.011019788641535891,0.2811060329838201,0.8153846153846154
M7_single_alpha_full_response,3,alpha_general,65,0.607125378939106,0.5820804195804196,-0.11484554509850355,0.32270396812689844,0.7230769230769231
M7_single_alpha_full_response,3,beta,65,0.9822871282942762,0.9031031468531469,-0.03236820992805576,5.060409672786084,0.8615384615384616
M7_single_alpha_full_response,3,rho,65,0.9297476102823756,0.8989947552447553,-0.005827815801813615,0.24913629276312094,0.9230769230769231
M7_single_alpha_full_response,3,side_bias,65,0.9526237290742108,0.8950611888111888,0.027027485576422705,0.2435429796431106,0.9384615384615385
M7_single_alpha_full_response,4,alpha_general,65,0.7084864581398232,0.6865384615384615,-0.0512501745754013,0.24328771880605535,0.8461538461538461
M7_single_alpha_full_response,4,beta,65,0.9479331150090886,0.9427884615384615,1.368838457488776,9.886602984050091,0.8307692307692308
M7_single_alpha_full_response,4,rho,65,0.9205607383081431,0.9011363636363636,-0.03475551418366305,0.2596762188314169,0.8769230769230769
M7_single_alpha_full_response,4,side_bias,65,0.9511359525387423,0.8653409090909091,-0.07357941682211387,0.2577926059671696,0.8923076923076924
M7_single_alpha_full_response,5,alpha_general,65,0.6829451794751267,0.6929195804195805,-0.07083661959098163,0.2744183921951687,0.9692307692307692
M7_single_alpha_full_response,5,beta,65,0.9877672487260493,0.9083479020979021,-0.10305565004764923,2.0426279434434305,0.8923076923076924
M7_single_alpha_full_response,5,rho,65,0.9135844449688447,0.9163461538461538,-0.025100660575795138,0.2675368099348618,0.8615384615384616
M7_single_alpha_full_response,5,side_bias,65,0.9455449025289323,0.8263111888111888,0.04294388873253087,0.2423900323729271,0.9230769230769231
