model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M3_block_alpha_stickiness,45,13576659,0.4162462363881,0.5449720167026585,0.5126322183262225,1.9036665542705,2.03475368255,NA,NA,3.875,4.666666667,4.294117647,3.333333333,3.75,34,3,26,9
M3_block_alpha_stickiness,46,13577320,0.25610946033025,0.61542585335175,1.0226644949464776,3.68508825145,0.40982635812409,NA,NA,3.625,5.444444444,4.588235294,5.5,1.75,18,15,13,15
M3_block_alpha_stickiness,47,13577820,0.30443593915954376,0.10765826859616212,-2.0477698467301,1.091173502338835,1.09919574792,NA,NA,4.25,2.888888889,3.529411765,5.666666667,4.25,20,1,9,8
M3_block_alpha_stickiness,48,13577827,0.3069016114493966,0.3684964240872815,0.4174220922998975,0.06534517279312,-0.0102011826671175,NA,NA,2.875,2.888888889,2.882352941,6.5,5,36,6,34,3
M3_block_alpha_stickiness,49,13583027,0.2661574760963593,0.33169160340657977,0.47059284097352,0.11457245482619025,-0.16979682481912126,NA,NA,2.875,3.555555556,3.235294118,5.333333333,4.25,25,14,24,12
M3_block_alpha_stickiness,50,13584631,0.24049626609940314,0.5598806425327528,1.2242059779743033,2.1815092022425002,-0.1516425724430025,NA,NA,4.75,2.777777778,3.705882353,5.166666667,5,21,25,23,21
M3_block_alpha_stickiness,51,13584969,0.21623366830875,0.02740623259737975,-2.4869279545674,3.02405577091,0.24099548723180675,NA,NA,4.625,4.666666667,4.647058824,3.833333333,3.75,33,4,14,17
M3_block_alpha_stickiness,52,13585333,0.208519301406125,0.09761717993933318,-1.73181364002545,6.265482747275,-0.0570811205368525,NA,NA,1.75,3.888888889,2.882352941,5.833333333,2.25,36,8,36,5
M3_block_alpha_stickiness,53,13586484,0.22582945858070028,0.35386121468759474,0.67500826896195,0.3672678962244775,0.131695167325997,NA,NA,3,2.777777778,2.882352941,5.333333333,4,26,20,23,17
M3_block_alpha_stickiness,54,13588120,0.24887579526271097,0.32191057421269226,0.5534689968100975,0.136035069776055,0.210622086341454,NA,NA,3.875,2.222222222,3,3.333333333,3.75,33,7,32,7
M3_block_alpha_stickiness,55,13588921,0.40859698234217173,0.5475868479293925,0.3664398810115925,1.927640969679325,1.6258128893125,NA,NA,4.5,2.888888889,3.647058824,3,4.75,29,23,12,25
M3_block_alpha_stickiness,56,13589585,0.2744021618269441,0.311465314284715,0.17467134182316,0.2283828466966225,0.33737549388004223,NA,NA,5.125,3.222222222,4.117647059,5.333333333,4.5,35,4,33,8
M3_block_alpha_stickiness,57,13590898,0.3004838529319476,0.3149328224300897,0.167311721657775,0.09263660495596,-0.0760779056670625,NA,NA,5.125,4.888888889,5,5.166666667,6.25,17,21,11,15
M3_block_alpha_stickiness,58,13592435,0.1365154877865,0.04628345410018825,-1.07934061259575,3.30090180033,0.1678377805468665,NA,NA,5.875,2.888888889,4.294117647,4.5,7,5,16,18,18
M3_block_alpha_stickiness,59,13594080,0.12125900815475,0.0523226983145115,-0.9326751130129275,10.8026755239,0.830924729421,NA,NA,5.125,3.777777778,4.411764706,5.333333333,4.75,32,16,8,23
M3_block_alpha_stickiness,60,13594097,0.5111152345702025,0.44799429320925,-0.13792130318738524,8.8975451089,0.14485934533467726,NA,NA,3.125,4.888888889,4.058823529,5.166666667,3.25,21,24,9,12
M3_block_alpha_stickiness,61,13596760,0.014250797976693874,0.2429612955921326,3.8832534045476623,6.4694713225,0.2516001170305644,NA,NA,4.625,3.888888889,4.235294118,4.333333333,4,30,23,20,21
M3_block_alpha_stickiness,62,13597838,0.3564886248745803,0.366828186374374,0.18901499641617353,0.23051153727161,0.596795819019,NA,NA,1.25,2,1.647058824,6.666666667,1.25,36,3,34,1
M3_block_alpha_stickiness,63,13598869,0.913960018555,0.9014308806225,-0.014421824542727226,4.495756810175,0.9272461900321675,NA,NA,5.25,3.222222222,4.176470588,3.166666667,5,26,12,19,7
M3_block_alpha_stickiness,64,13599077,0.5652268396552748,0.6416352674013948,0.5329829179881945,1.09495272574755,0.42451798811124125,NA,NA,6.625,4.666666667,5.588235294,3.666666667,7,11,33,8,5
M3_block_alpha_stickiness,65,13604099,0.340752921381695,0.13568734672108926,-1.1604449296021,2.02418347745055,0.95242324824,NA,NA,4.25,3.888888889,4.058823529,6,4.5,21,12,7,30
M4_block_alpha_full_response,1,13531305,0.677404963398875,0.1982913528655877,-1.840590176755947,2.35888216540325,0.7708322997085,-2.1312357038,NA,4.25,3.444444444,3.823529412,5.333333333,5.5,28,20,33,3
M4_block_alpha_full_response,2,13531717,0.22967914179802534,0.19167812178698873,-0.49349792464805,0.55007459711829,0.0231899124336135,-0.69575071080675,NA,2.875,2.888888889,2.882352941,5.833333333,6.25,30,14,17,9
M4_block_alpha_full_response,3,13533233,0.01645584614085635,0.03349446047099655,1.18935631943919,3.50212555539,-0.05794256739871325,0.1660987883599215,NA,4.25,4.777777778,4.529411765,3.333333333,5.75,32,4,26,0
M4_block_alpha_full_response,4,13535036,0.771436293185,0.653211798215,-0.17181329293577025,4.066843987125,1.793184608185,0.16308187841659,NA,4.875,6.333333333,5.647058824,1.833333333,3,26,5,21,7
M4_block_alpha_full_response,5,13535312,0.2660839919192458,0.31888910346720506,1.00170902982405,0.73148306091868,0.03992979890332575,-0.10157127085475474,NA,3.25,3.333333333,3.294117647,5.166666667,5,34,7,15,1
M4_block_alpha_full_response,6,13536005,0.63948212239305,0.88722062499825,0.4401139937275005,2.3505026099425,1.2582665150825,0.1421853168235455,NA,2.5,2.888888889,2.705882353,4.166666667,4.5,36,7,21,19
M4_block_alpha_full_response,7,13536034,0.30118335826142756,0.37099159672892,0.498812039102232,0.1854926084812625,-0.012642294016429,-0.145481949746415,NA,4.75,4.222222222,4.470588235,2.666666667,1.5,32,9,1,24
