model,condition,trial_within_phase,metric,observed,posterior_predictive_mean,posterior_predictive_median,lower_95,upper_95
M3_block_alpha_stickiness,Volatile2,4,choose_blue,0.5076923076923077,0.5322051282051282,0.5384615384615384,0.4226923076923077,0.6307692307692307
M3_block_alpha_stickiness,Volatile2,4,optimal_choice,0.5,0.55796875,0.5625,0.4375,0.6644531249999996
M3_block_alpha_stickiness,Volatile2,5,choose_blue,0.5692307692307692,0.5588717948717948,0.5538461538461539,0.4461538461538462,0.6615384615384615
M3_block_alpha_stickiness,Volatile2,5,optimal_choice,0.5967741935483871,0.6112903225806452,0.6129032258064516,0.5,0.7181451612903222
M3_block_alpha_stickiness,Volatile2,6,choose_blue,0.5692307692307692,0.611025641025641,0.6153846153846154,0.5076923076923077,0.7076923076923077
M3_block_alpha_stickiness,Volatile2,6,optimal_choice,0.576271186440678,0.6398870056497175,0.6440677966101694,0.5254237288135594,0.7457627118644068
M3_block_alpha_stickiness,Volatile2,7,choose_blue,0.6461538461538462,0.6074358974358974,0.6,0.4996153846153847,0.7230769230769231
M3_block_alpha_stickiness,Volatile2,7,optimal_choice,0.576271186440678,0.6253672316384181,0.6271186440677966,0.5084745762711864,0.7457627118644068
M3_block_alpha_stickiness,Volatile2,8,choose_blue,0.6307692307692307,0.6062051282051282,0.6,0.5076923076923077,0.7230769230769231
M3_block_alpha_stickiness,Volatile2,8,optimal_choice,0.6190476190476191,0.6448677248677248,0.6428571428571428,0.5472222222222223,0.746031746031746
M3_block_alpha_stickiness,Volatile2,9,choose_blue,0.6307692307692307,0.6252307692307693,0.6153846153846154,0.5230769230769231,0.7230769230769231
M3_block_alpha_stickiness,Volatile2,9,optimal_choice,0.5806451612903226,0.6426344086021505,0.6451612903225806,0.5399193548387096,0.7580645161290323
M3_block_alpha_stickiness,Volatile2,10,choose_blue,0.6615384615384615,0.6013846153846154,0.6,0.48423076923076924,0.7076923076923077
M3_block_alpha_stickiness,Volatile2,10,optimal_choice,0.639344262295082,0.6302732240437159,0.639344262295082,0.5237704918032788,0.7377049180327869
M3_block_alpha_stickiness,Volatile2,11,choose_blue,0.5384615384615384,0.538974358974359,0.5384615384615384,0.4461538461538462,0.6461538461538462
M3_block_alpha_stickiness,Volatile2,11,optimal_choice,0.603448275862069,0.5992528735632184,0.603448275862069,0.4827586206896552,0.7068965517241379
M3_block_alpha_stickiness,Volatile2,12,choose_blue,0.6153846153846154,0.605025641025641,0.6,0.49230769230769234,0.7157692307692305
M3_block_alpha_stickiness,Volatile2,12,optimal_choice,0.5555555555555556,0.6253439153439153,0.6190476190476191,0.5079365079365079,0.7384920634920631
M3_block_alpha_stickiness,Volatile2,13,choose_blue,0.6,0.567025641025641,0.5692307692307692,0.46153846153846156,0.6923076923076923
M3_block_alpha_stickiness,Volatile2,13,optimal_choice,0.5538461538461539,0.6036410256410256,0.6,0.4996153846153847,0.6923076923076923
M3_block_alpha_stickiness,Volatile2,14,choose_blue,0.5846153846153846,0.5911794871794872,0.6,0.49230769230769234,0.7003846153846149
M3_block_alpha_stickiness,Volatile2,14,optimal_choice,0.6507936507936508,0.6391005291005291,0.6349206349206349,0.5396825396825397,0.746031746031746
M3_block_alpha_stickiness,Volatile2,15,choose_blue,0.5384615384615384,0.6262564102564102,0.6307692307692307,0.5230769230769231,0.7311538461538458
M3_block_alpha_stickiness,Volatile2,15,optimal_choice,0.4426229508196721,0.6273224043715847,0.6229508196721312,0.5159836065573771,0.7377049180327869
M3_block_alpha_stickiness,Volatile2,16,choose_blue,0.6,0.6071282051282051,0.6153846153846154,0.49230769230769234,0.7076923076923077
M3_block_alpha_stickiness,Volatile2,16,optimal_choice,0.639344262295082,0.6636612021857924,0.6721311475409836,0.5323770491803279,0.7540983606557377
M3_block_alpha_stickiness,Volatile2,17,choose_blue,0.5846153846153846,0.5563076923076923,0.5538461538461539,0.46153846153846156,0.6615384615384615
M3_block_alpha_stickiness,Volatile2,17,optimal_choice,0.6190476190476191,0.6001058201058201,0.6031746031746031,0.4996031746031746,0.6984126984126984
M3_block_alpha_stickiness,Volatile2,18,choose_blue,0.5230769230769231,0.574,0.5692307692307692,0.47692307692307695,0.676923076923077
M3_block_alpha_stickiness,Volatile2,18,optimal_choice,0.515625,0.64140625,0.640625,0.53125,0.75
M3_block_alpha_stickiness,Volatile2,19,choose_blue,0.6153846153846154,0.6064102564102564,0.6,0.5076923076923077,0.7076923076923077
M3_block_alpha_stickiness,Volatile2,19,optimal_choice,0.640625,0.6232291666666666,0.625,0.5,0.71875
M3_block_alpha_stickiness,Volatile2,20,choose_blue,0.7076923076923077,0.6281025641025642,0.6307692307692307,0.5230769230769231,0.7384615384615385
M3_block_alpha_stickiness,Volatile2,20,optimal_choice,0.6,0.6560555555555555,0.65,0.55,0.7666666666666667
M3_block_alpha_stickiness,Volatile3,1,choose_blue,0.6461538461538462,0.5768717948717949,0.5692307692307692,0.47692307692307695,0.676923076923077
M3_block_alpha_stickiness,Volatile3,1,optimal_choice,0.38461538461538464,0.44743589743589746,0.4461538461538462,0.34576923076923083,0.5538461538461539
M3_block_alpha_stickiness,Volatile3,2,choose_blue,0.49230769230769234,0.514051282051282,0.5230769230769231,0.4,0.6153846153846154
M3_block_alpha_stickiness,Volatile3,2,optimal_choice,0.49230769230769234,0.5048205128205129,0.5076923076923077,0.391923076923077,0.6080769230769227
M3_block_alpha_stickiness,Volatile3,3,choose_blue,0.4153846153846154,0.4765128205128205,0.47692307692307695,0.36923076923076925,0.6
M3_block_alpha_stickiness,Volatile3,3,optimal_choice,0.6153846153846154,0.5422564102564102,0.5384615384615384,0.4307692307692308,0.6461538461538462
M3_block_alpha_stickiness,Volatile3,4,choose_blue,0.35384615384615387,0.4756923076923077,0.47692307692307695,0.36923076923076925,0.5846153846153846
