model,ppc_draw,condition,metric,value
M3_block_alpha_stickiness,15,Volatile1,stay_rate,0.5969230769230769
M3_block_alpha_stickiness,15,Volatile1,switch_after_loss,0.4948805460750853
M3_block_alpha_stickiness,15,Volatile1,switch_after_no_loss,0.3277310924369748
M3_block_alpha_stickiness,15,Volatile2,optimal_choice,0.6251012145748988
M3_block_alpha_stickiness,15,Volatile2,choose_blue,0.5876923076923077
M3_block_alpha_stickiness,15,Volatile2,stay_rate,0.6023076923076923
M3_block_alpha_stickiness,15,Volatile2,switch_after_loss,0.48214285714285715
M3_block_alpha_stickiness,15,Volatile2,switch_after_no_loss,0.33378378378378376
M3_block_alpha_stickiness,15,Volatile3,optimal_choice,0.5907692307692308
M3_block_alpha_stickiness,15,Volatile3,choose_blue,0.41
M3_block_alpha_stickiness,15,Volatile3,stay_rate,0.6138461538461538
M3_block_alpha_stickiness,15,Volatile3,switch_after_loss,0.46045694200351495
M3_block_alpha_stickiness,15,Volatile3,switch_after_no_loss,0.3283173734610123
M3_block_alpha_stickiness,16,Stable,optimal_choice,0.6038461538461538
M3_block_alpha_stickiness,16,Stable,choose_blue,0.5812820512820512
M3_block_alpha_stickiness,16,Stable,stay_rate,0.608083441981747
M3_block_alpha_stickiness,16,Stable,switch_after_loss,0.4675324675324675
M3_block_alpha_stickiness,16,Stable,switch_after_no_loss,0.32703488372093026
M3_block_alpha_stickiness,16,Volatile1,optimal_choice,0.6130769230769231
M3_block_alpha_stickiness,16,Volatile1,choose_blue,0.4046153846153846
M3_block_alpha_stickiness,16,Volatile1,stay_rate,0.6084615384615385
M3_block_alpha_stickiness,16,Volatile1,switch_after_loss,0.4690721649484536
M3_block_alpha_stickiness,16,Volatile1,switch_after_no_loss,0.3286908077994429
M3_block_alpha_stickiness,16,Volatile2,optimal_choice,0.6032388663967612
M3_block_alpha_stickiness,16,Volatile2,choose_blue,0.5476923076923077
M3_block_alpha_stickiness,16,Volatile2,stay_rate,0.6269230769230769
M3_block_alpha_stickiness,16,Volatile2,switch_after_loss,0.41118421052631576
M3_block_alpha_stickiness,16,Volatile2,switch_after_no_loss,0.33959537572254334
M3_block_alpha_stickiness,16,Volatile3,optimal_choice,0.5507692307692308
M3_block_alpha_stickiness,16,Volatile3,choose_blue,0.4576923076923077
M3_block_alpha_stickiness,16,Volatile3,stay_rate,0.6030769230769231
M3_block_alpha_stickiness,16,Volatile3,switch_after_loss,0.45757071547420963
M3_block_alpha_stickiness,16,Volatile3,switch_after_no_loss,0.3447782546494993
M3_block_alpha_stickiness,17,Stable,optimal_choice,0.6141025641025641
M3_block_alpha_stickiness,17,Stable,choose_blue,0.5853846153846154
M3_block_alpha_stickiness,17,Stable,stay_rate,0.5908735332464146
M3_block_alpha_stickiness,17,Stable,switch_after_loss,0.47910704064109905
M3_block_alpha_stickiness,17,Stable,switch_after_no_loss,0.3505747126436782
M3_block_alpha_stickiness,17,Volatile1,optimal_choice,0.5976923076923077
M3_block_alpha_stickiness,17,Volatile1,choose_blue,0.4276923076923077
M3_block_alpha_stickiness,17,Volatile1,stay_rate,0.6046153846153847
M3_block_alpha_stickiness,17,Volatile1,switch_after_loss,0.46037099494097805
M3_block_alpha_stickiness,17,Volatile1,switch_after_no_loss,0.3408769448373409
M3_block_alpha_stickiness,17,Volatile2,optimal_choice,0.620242914979757
M3_block_alpha_stickiness,17,Volatile2,choose_blue,0.573076923076923
M3_block_alpha_stickiness,17,Volatile2,stay_rate,0.6092307692307692
M3_block_alpha_stickiness,17,Volatile2,switch_after_loss,0.4743150684931507
M3_block_alpha_stickiness,17,Volatile2,switch_after_no_loss,0.3226256983240223
M3_block_alpha_stickiness,17,Volatile3,optimal_choice,0.5753846153846154
M3_block_alpha_stickiness,17,Volatile3,choose_blue,0.42230769230769233
M3_block_alpha_stickiness,17,Volatile3,stay_rate,0.61
M3_block_alpha_stickiness,17,Volatile3,switch_after_loss,0.4847457627118644
M3_block_alpha_stickiness,17,Volatile3,switch_after_no_loss,0.3112676056338028
M3_block_alpha_stickiness,18,Stable,optimal_choice,0.597948717948718
M3_block_alpha_stickiness,18,Stable,choose_blue,0.5697435897435897
M3_block_alpha_stickiness,18,Stable,stay_rate,0.5992177314211212
M3_block_alpha_stickiness,18,Stable,switch_after_loss,0.45315161839863716
M3_block_alpha_stickiness,18,Stable,switch_after_no_loss,0.3563162970106075
M3_block_alpha_stickiness,18,Volatile1,optimal_choice,0.5984615384615385
M3_block_alpha_stickiness,18,Volatile1,choose_blue,0.4330769230769231
M3_block_alpha_stickiness,18,Volatile1,stay_rate,0.6269230769230769
M3_block_alpha_stickiness,18,Volatile1,switch_after_loss,0.4679376083188908
M3_block_alpha_stickiness,18,Volatile1,switch_after_no_loss,0.29737206085753803
M3_block_alpha_stickiness,18,Volatile2,optimal_choice,0.605668016194332
M3_block_alpha_stickiness,18,Volatile2,choose_blue,0.5869230769230769
M3_block_alpha_stickiness,18,Volatile2,stay_rate,0.6384615384615384
